Condition	N° variables	Time	Status
CellLine_NCIH2342	14303	235.27105164527893	Solve_Succeeded
CellLine_A498	14303	226.63953399658203	Solve_Succeeded
CellLine_K562	14303	226.3110432624817	Solve_Succeeded
CellLine_KM12	14303	226.2147285938263	Solve_Succeeded
CellLine_HCC1588	14303	244.28150177001953	Solve_Succeeded
CellLine_NCIH322	14303	251.4183702468872	Solve_Succeeded
CellLine_BXPC3	14303	226.15228748321533	Solve_Succeeded
CellLine_EBC1	14303	228.02741742134094	Solve_Succeeded
CellLine_CAL51	14303	237.85459232330322	Solve_Succeeded
CellLine_SKMEL24	14303	223.97524428367615	Solve_Succeeded
CellLine_BT549	14303	218.46537709236145	Solve_Succeeded
CellLine_NCIH810	14303	255.2567903995514	Solved_To_Acceptable_Level
CellLine_NCIH358	14303	231.38796138763428	Solve_Succeeded
CellLine_PC3	14303	223.90322995185852	Solve_Succeeded
CellLine_MDAMB231	14303	224.96366715431213	Solve_Succeeded
CellLine_A427	14303	241.08310317993164	Solve_Succeeded
CellLine_SF268	14303	232.01040148735046	Solve_Succeeded
CellLine_SCABER	14303	222.816326379776	Solve_Succeeded
CellLine_HCC1395	14303	224.74371981620789	Solve_Succeeded
CellLine_786O	14303	253.07084608078003	Solved_To_Acceptable_Level
CellLine_MALME3M	14303	215.02863121032715	Solve_Succeeded
CellLine_NCIH1650	14303	222.39942383766174	Solve_Succeeded
CellLine_769P	14303	225.57704615592957	Solve_Succeeded
CellLine_MDAMB468	14303	227.90659093856812	Solve_Succeeded
CellLine_CHAGOK1	14303	230.3482837677002	Solve_Succeeded
CellLine_5637	14303	229.71530675888062	Solve_Succeeded
CellLine_EPLC272H	14303	228.74913620948792	Solve_Succeeded
CellLine_CORL23	14303	219.23418712615967	Solve_Succeeded
CellLine_HS578T	14303	242.1587371826172	Solve_Succeeded
CellLine_NCIH146	14303	231.0346109867096	Solve_Succeeded
CellLine_DU145	14303	223.5993983745575	Solve_Succeeded
CellLine_NCIH727	14303	233.58982229232788	Solve_Succeeded
CellLine_HCC1187	14303	226.37976932525635	Solve_Succeeded
CellLine_T47D	14303	244.70500016212463	Solve_Succeeded
CellLine_HT1376	14303	243.8240065574646	Solve_Succeeded
CellLine_SW620	14303	227.3676130771637	Solve_Succeeded
CellLine_NCIH2172	14303	233.5971908569336	Solve_Succeeded
CellLine_J82	14303	231.85973072052002	Solve_Succeeded
CellLine_NCIH1299	14303	225.2256565093994	Solve_Succeeded
CellLine_HL60	14303	250.8609709739685	Solve_Succeeded
CellLine_HCC1569	14303	243.28572392463684	Solve_Succeeded
CellLine_NCIH1395	14303	226.46127724647522	Solve_Succeeded
CellLine_HCC1500	14303	221.10552644729614	Solve_Succeeded
CellLine_UMUC3	14303	227.607896566391	Solve_Succeeded
CellLine_NCIH661	14303	226.9360511302948	Solve_Succeeded
CellLine_LUDLU1	14303	237.45388984680176	Solve_Succeeded
CellLine_NCIH82	14303	226.85858869552612	Solve_Succeeded
CellLine_PC9	14303	228.02254581451416	Solve_Succeeded
CellLine_HCC70	14303	233.336279630661	Solve_Succeeded
CellLine_KNS62	14303	221.3949704170227	Solve_Succeeded
CellLine_KP4	14303	230.62377309799194	Solve_Succeeded
CellLine_MDAMB157	14303	227.41751265525818	Solve_Succeeded
CellLine_LK2	14303	232.01416492462158	Solve_Succeeded
CellLine_SKOV3	14303	218.27424430847168	Solve_Succeeded
CellLine_NCIH522	14303	230.05217671394348	Solve_Succeeded
CellLine_A704	14303	262.8482973575592	Solved_To_Acceptable_Level
CellLine_LOXIMVI	14303	271.229558467865	Maximum_Iterations_Exceeded
CellLine_NCIH520	14303	230.44933104515076	Solve_Succeeded
CellLine_HT29	14303	233.0418245792389	Solve_Succeeded
CellLine_NCIH1651	14303	228.00674057006836	Solve_Succeeded
CellLine_HCC1143	14303	230.2417769432068	Solve_Succeeded
CellLine_NCIH2085	14303	224.8408601284027	Solve_Succeeded
CellLine_UACC257	14303	248.22706127166748	Solve_Succeeded
CellLine_HOP62	14303	243.85460543632507	Solve_Succeeded
CellLine_A549	14303	233.23236417770386	Solve_Succeeded
